Model,Test RMSE,Test MAE,Test R²,Test MAPE (%)
XGBoost,2454350220.3298917,228656253.3630995,0.8995156613985023,7.912177320216755e+22
Gradient Boosting,3262061059.3252144,321182114.2899452,0.8224954530903926,2.9908483723635023e+23
Random Forest,3711728555.580865,339449297.95315945,0.7701853413039216,11.981592569744407
LightGBM,5534796174.873511,514687567.3318901,0.48899096983307677,6.343263698012618e+22
